Parameter S1 S1_conf ST ST_conf
cd260 0.000076 0.000195 0.000008 0.000001
cd262 0.000006 0.000038 0.000000 0.000000
cd141 0.000008 0.000036 0.000000 0.000000
cd383 -0.000043 0.000455 0.000041 0.000003
cd385 0.000019 0.000144 0.000004 0.000000
cd142 -0.000003 0.000271 0.000014 0.000001
cd266 0.000100 0.000173 0.000006 0.000000
cd389 -0.000003 0.000031 0.000000 0.000000
cd147 0.000153 0.000426 0.000036 0.000003
cd388 0.000010 0.000049 0.000000 0.000000
ud124 0.204587 0.029896 0.202322 0.014025
ud487 0.000294 0.001165 0.000287 0.000021
ud120 0.026040 0.011518 0.026203 0.001764
ud484 0.001960 0.002214 0.000926 0.000064
ud261 0.000730 0.001643 0.000574 0.000043
ud380 0.006536 0.006122 0.006823 0.000485
cd370 -0.000034 0.000366 0.000024 0.000002
cd490 0.000083 0.000437 0.000036 0.000003
cd495 0.000006 0.000253 0.000013 0.000001
cd374 -0.000004 0.000032 0.000000 0.000000
cd131 -0.000122 0.000195 0.000007 0.000001
cd252 0.000044 0.000070 0.000001 0.000000
cd494 0.000000 0.000000 0.000000 0.000000
cd2 -0.000018 0.000126 0.000003 0.000000
cd133 0.000023 0.000097 0.000002 0.000000
cd496 -0.000097 0.000461 0.000041 0.000003
cd254 0.000243 0.000172 0.000006 0.000000
cd257 -0.000025 0.000044 0.000000 0.000000
cd499 0.000032 0.000067 0.000001 0.000000
cd5 0.000217 0.000508 0.000053 0.000004
ud373 -0.000315 0.001670 0.000526 0.000038
