type,smell,hibernate-core-3.3.0.GA,hibernate-core-3.5.0-Final,hibernate-core-3.6.0.Final,hibernate-core-4.0.0.Final,hibernate-core-4.1.0.Final,hibernate-core-4.2.0.Final,hibernate-core-4.3.0.Final,hibernate-core-5.0.0.Final,hibernate-core-5.1.0.Final,hibernate-core-5.2.0.Final,hibernate-core-5.3.0.Final,hibernate-core-5.4.0.Final
cd,org.hibernate.id;org.hibernate.tuple.entity;org.hibernate.mapping_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,52.7738894953814,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.id;org.hibernate.tuple.entity;org.hibernate.mapping_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,3.0,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.id;org.hibernate.tuple.entity;org.hibernate.mapping_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,1150.0,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.tool.hbm2ddl;org.hibernate.boot.model.naming;org.hibernate.boot.model.relational;org.hibernate.boot.registry;org.hibernate.boot.registry.internal;org.hibernate.service.internal;org.hibernate.cfg;org.hibernate.cfg.annotations;org.hibernate.mapping_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,705.0,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.tool.hbm2ddl;org.hibernate.boot.model.naming;org.hibernate.boot.model.relational;org.hibernate.boot.registry;org.hibernate.boot.registry.internal;org.hibernate.service.internal;org.hibernate.cfg;org.hibernate.cfg.annotations;org.hibernate.mapping_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,100.60770566494105,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.tool.hbm2ddl;org.hibernate.boot.model.naming;org.hibernate.boot.model.relational;org.hibernate.boot.registry;org.hibernate.boot.registry.internal;org.hibernate.service.internal;org.hibernate.cfg;org.hibernate.cfg.annotations;org.hibernate.mapping_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,9.0,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.tool.hbm2ddl;org.hibernate.boot.model.naming;org.hibernate.boot.model.relational;org.hibernate.boot.registry;org.hibernate.boot.registry.internal;org.hibernate.service.internal;org.hibernate.cfg;org.hibernate.cfg.annotations;org.hibernate.mapping_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,1150.0,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.persister.collection;org.hibernate.loader.collection;org.hibernate.cfg;org.hibernate.event;org.hibernate.event.def;org.hibernate.collection;org.hibernate.loader;org.hibernate.engine.loading_SeverityScore,317.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.persister.collection;org.hibernate.loader.collection;org.hibernate.cfg;org.hibernate.event;org.hibernate.event.def;org.hibernate.collection;org.hibernate.loader;org.hibernate.engine.loading_PageRank,55.336015991314326,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.persister.collection;org.hibernate.loader.collection;org.hibernate.cfg;org.hibernate.event;org.hibernate.event.def;org.hibernate.collection;org.hibernate.loader;org.hibernate.engine.loading_NumSetOfElement,8.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.persister.collection;org.hibernate.loader.collection;org.hibernate.cfg;org.hibernate.event;org.hibernate.event.def;org.hibernate.collection;org.hibernate.loader;org.hibernate.engine.loading_TotNumOfSetOfElement,494.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.type;org.hibernate.collection.internal;org.hibernate.engine.internal;org.hibernate.engine.loading.internal;org.hibernate.tuple.entity;org.hibernate.tuple.component;org.hibernate.persister.walking.internal;org.hibernate.tuple;org.hibernate.id_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,658.0,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.type;org.hibernate.collection.internal;org.hibernate.engine.internal;org.hibernate.engine.loading.internal;org.hibernate.tuple.entity;org.hibernate.tuple.component;org.hibernate.persister.walking.internal;org.hibernate.tuple;org.hibernate.id_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,104.60039118117444,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.type;org.hibernate.collection.internal;org.hibernate.engine.internal;org.hibernate.engine.loading.internal;org.hibernate.tuple.entity;org.hibernate.tuple.component;org.hibernate.persister.walking.internal;org.hibernate.tuple;org.hibernate.id_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,9.0,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.type;org.hibernate.collection.internal;org.hibernate.engine.internal;org.hibernate.engine.loading.internal;org.hibernate.tuple.entity;org.hibernate.tuple.component;org.hibernate.persister.walking.internal;org.hibernate.tuple;org.hibernate.id_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,1176.0,-Infinity,-Infinity,-Infinity,-Infinity,
