type,smell,apache-cxf-2.0.6,apache-cxf-2.1.1,apache-cxf-2.2.1,apache-cxf-2.3.0,apache-cxf-2.4.0,apache-cxf-2.5.0,apache-cxf-2.6.0,apache-cxf-2.7.0,apache-cxf-3.0.0,apache-cxf-3.1.0,apache-cxf-3.2.0
cd,org.apache.cxf.endpoint;org.apache.cxf.ws.addressing;org.apache.cxf.transport;org.apache.cxf.helpers_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,4.0,
cd,org.apache.cxf.endpoint;org.apache.cxf.ws.addressing;org.apache.cxf.transport;org.apache.cxf.helpers_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,338.0,
cd,org.apache.cxf.ws.security.policy;org.apache.cxf.ws.security.policy.builders;org.apache.cxf.ws.security.policy.custom;org.apache.cxf.ws.security.policy.model_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,350.0,376.0,364.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.ws.security.policy;org.apache.cxf.ws.security.policy.builders;org.apache.cxf.ws.security.policy.custom;org.apache.cxf.ws.security.policy.model_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,5.865013899028946,6.110130794260433,6.083377056880213,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.ws.security.policy;org.apache.cxf.ws.security.policy.builders;org.apache.cxf.ws.security.policy.custom;org.apache.cxf.ws.security.policy.model_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,4.0,4.0,4.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.ws.security.policy;org.apache.cxf.ws.security.policy.builders;org.apache.cxf.ws.security.policy.custom;org.apache.cxf.ws.security.policy.model_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,738.0,746.0,794.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.attachment;org.apache.cxf.message;org.apache.cxf.transport;org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.service.invoker;org.apache.cxf.frontend;org.apache.cxf.interceptor_SeverityScore,-Infinity,-Infinity,357.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.attachment;org.apache.cxf.message;org.apache.cxf.transport;org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.service.invoker;org.apache.cxf.frontend;org.apache.cxf.interceptor_PageRank,-Infinity,-Infinity,48.905326533659995,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.attachment;org.apache.cxf.message;org.apache.cxf.transport;org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.service.invoker;org.apache.cxf.frontend;org.apache.cxf.interceptor_NumSetOfElement,-Infinity,-Infinity,9.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.attachment;org.apache.cxf.message;org.apache.cxf.transport;org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.service.invoker;org.apache.cxf.frontend;org.apache.cxf.interceptor_TotNumOfSetOfElement,-Infinity,-Infinity,552.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
